Unnamed: 0,code,date,wind_direction,windy,visibility,octa,firstcloudtop,temp,dewpoint_temp,humi,sealevelpressure,airpressure,prep,SO2,CO,O3,NO2,PM10,PM25,year,month,day,hour
0,113,2016-01-01 0:00,150,1,6000,1,1,-2.2,-4.9,82,1033.3,1032.4,,0.005,1.3,0.004,0.055,68.0,46.0,2016,1,1,0
1,113,2016-01-01 1:00,240,1,6000,1,1,-1.3,-3.6,84,1033.2,1032.3,,0.005,1.3,0.006999999999999999,0.047,77.0,56.0,2016,1,1,1
2,113,2016-01-01 2:00,150,1,6000,0,10,-3.3,-5.7,83,1033.3,1032.4,,0.005,1.2,0.006,0.048,77.0,51.0,2016,1,1,2
3,113,2016-01-01 3:00,70,2,6000,0,10,-3.7,-6.0,84,1033.3,1032.4,,0.006,1.1,0.006999999999999999,0.045,64.0,48.0,2016,1,1,3
6,113,2016-01-01 6:00,110,2,2800,4,1,-0.4,-3.0,83,1032.9,1032.0,,0.005,1.1,0.002,0.047,64.0,54.0,2016,1,1,6
7,113,2016-01-01 7:00,80,3,3200,4,1,-0.8,-3.3,83,1033.2,1032.3,,0.006,1.2,0.003,0.049,71.0,58.0,2016,1,1,7
8,113,2016-01-01 8:00,70,4,2000,4,4,-1.2,-3.3,86,1033.1,1032.2,,0.006,1.5,0.003,0.055999999999999994,90.0,67.0,2016,1,1,8
9,113,2016-01-01 9:00,120,5,2000,3,3,0.2,-2.2,84,1033.3,1032.4,,0.006999999999999999,1.4,0.004,0.057999999999999996,93.0,71.0,2016,1,1,9
10,113,2016-01-01 10:00,150,7,2800,3,3,1.7,-1.0,82,1033.5,1032.6,,0.008,1.2,0.006,0.055,83.0,67.0,2016,1,1,10
11,113,2016-01-01 11:00,150,9,4500,4,4,2.3,-1.4,77,1033.3,1032.4,,0.006,1.1,0.008,0.045,75.0,60.0,2016,1,1,11
58,113,2016-01-03 10:00,140,3,300,8,9,4.8,3.6,92,1020.5,1019.7,,0.005,1.3,0.018000000000000002,0.040999999999999995,56.0,24.0,2016,1,3,10
59,113,2016-01-03 11:00,100,2,1200,8,8,5.4,4.1,91,1020.7,1019.9,,0.005,1.1,0.018000000000000002,0.04,73.0,39.0,2016,1,3,11
60,113,2016-01-03 12:00,90,2,1600,7,7,5.8,4.5,91,1020.2,1019.4,,0.006,1.1,0.022000000000000002,0.040999999999999995,69.0,55.0,2016,1,3,12
61,113,2016-01-03 13:00,170,3,2000,7,7,5.9,4.6,91,1019.6,1018.8,,0.006,1.1,0.023,0.04,92.0,58.0,2016,1,3,13
62,113,2016-01-03 14:00,340,4,1500,7,7,6.2,4.8,91,1018.9,1018.1,,0.006,1.1,0.024,0.040999999999999995,86.0,59.0,2016,1,3,14
63,113,2016-01-03 15:00,330,2,2000,6,4,6.4,4.3,86,1018.6,1017.8,,0.006,1.1,0.024,0.038,74.0,57.0,2016,1,3,15
64,113,2016-01-03 16:00,350,3,2200,5,5,6.5,3.5,81,1018.5,1017.7,,0.005,1.1,0.023,0.038,71.0,54.0,2016,1,3,16
65,113,2016-01-03 17:00,70,1,1400,6,3,5.3,2.7,83,1018.6,1017.8,,0.006,1.1,0.024,0.04,63.0,54.0,2016,1,3,17
66,113,2016-01-03 18:00,350,3,1300,6,3,4.9,2.6,85,1019.2,1018.4,,0.005,1.2,0.02,0.040999999999999995,102.0,63.0,2016,1,3,18
67,113,2016-01-03 19:00,10,2,1200,6,3,3.9,2.0,87,1019.4,1018.6,,0.005,1.2,0.035,0.027000000000000003,96.0,64.0,2016,1,3,19
