Unnamed: 0,code,date,wind_direction,windy,visibility,octa,firstcloudtop,temp,dewpoint_temp,humi,sealevelpressure,airpressure,prep,SO2,CO,O3,NO2,PM10,PM25,year,month,day,hour
0,113,2016-01-01 0:00,150,1,6000,1,1,-2.2,-4.9,82,1033.3,1032.4,,0.005,1.3,0.004,0.055,68.0,46.0,2016,1,1,0
1,113,2016-01-01 1:00,240,1,6000,1,1,-1.3,-3.6,84,1033.2,1032.3,,0.005,1.3,0.006999999999999999,0.047,77.0,56.0,2016,1,1,1
2,113,2016-01-01 2:00,150,1,6000,0,10,-3.3,-5.7,83,1033.3,1032.4,,0.005,1.2,0.006,0.048,77.0,51.0,2016,1,1,2
6,113,2016-01-01 6:00,110,2,2800,4,1,-0.4,-3.0,83,1032.9,1032.0,,0.005,1.1,0.002,0.047,64.0,54.0,2016,1,1,6
7,113,2016-01-01 7:00,80,3,3200,4,1,-0.8,-3.3,83,1033.2,1032.3,,0.006,1.2,0.003,0.049,71.0,58.0,2016,1,1,7
8,113,2016-01-01 8:00,70,4,2000,4,4,-1.2,-3.3,86,1033.1,1032.2,,0.006,1.5,0.003,0.055999999999999994,90.0,67.0,2016,1,1,8
9,113,2016-01-01 9:00,120,5,2000,3,3,0.2,-2.2,84,1033.3,1032.4,,0.006999999999999999,1.4,0.004,0.057999999999999996,93.0,71.0,2016,1,1,9
10,113,2016-01-01 10:00,150,7,2800,3,3,1.7,-1.0,82,1033.5,1032.6,,0.008,1.2,0.006,0.055,83.0,67.0,2016,1,1,10
43,113,2016-01-02 19:00,230,3,4500,4,2,8.4,5.7,83,1020.8,1020.0,,0.006,1.0,0.009000000000000001,0.055999999999999994,51.0,34.0,2016,1,2,19
44,113,2016-01-02 20:00,210,6,4500,5,2,8.4,5.3,81,1020.7,1019.9,,0.006999999999999999,1.0,0.006,0.052000000000000005,41.0,33.0,2016,1,2,20
45,113,2016-01-02 21:00,210,5,4800,4,2,8.1,5.1,81,1020.7,1019.9,,0.006999999999999999,1.0,0.006,0.05,54.0,36.0,2016,1,2,21
56,113,2016-01-03 8:00,130,3,100,8,9,3.3,2.1,92,1020.4,1019.6,,0.005,1.0,0.004,0.051,43.0,18.0,2016,1,3,8
57,113,2016-01-03 9:00,130,3,100,8,9,3.9,2.7,92,1020.5,1019.7,,0.005,1.0,0.006999999999999999,0.048,40.0,26.0,2016,1,3,9
127,113,2016-01-06 7:00,130,5,10000,6,6,-1.6,-10.4,51,1027.3,1026.4,,0.006999999999999999,0.9,0.004,0.05,51.0,25.0,2016,1,6,7
128,113,2016-01-06 8:00,120,4,10000,3,3,-2.5,-10.2,55,1027.3,1026.4,,0.009000000000000001,1.0,0.004,0.054000000000000006,75.0,51.0,2016,1,6,8
129,113,2016-01-06 9:00,150,7,10000,5,3,-0.8,-8.8,55,1027.2,1026.3,,0.008,0.9,0.006999999999999999,0.047,64.0,30.0,2016,1,6,9
211,113,2016-01-09 19:00,0,0,10000,4,4,-1.2,-7.1,64,1025.4,1024.5,,0.005,0.7,0.01,0.047,9.0,14.5,2016,1,9,19
212,113,2016-01-09 20:00,150,2,10000,6,6,-0.4,-6.3,64,1025.3,1024.4,,0.005,0.7,0.006999999999999999,0.047,36.0,20.0,2016,1,9,20
213,113,2016-01-09 21:00,250,4,10000,6,6,0.4,-5.8,63,1025.5,1024.6,,0.006,0.6,0.006,0.049,38.0,16.0,2016,1,9,21
330,113,2016-01-14 18:00,150,5,7000,7,2,-1.2,-6.6,67,1021.0,1020.1,0.0,0.008,0.8,0.009000000000000001,0.048,19.0,19.0,2016,1,14,18
