Unnamed: 0,code,date,wind_direction,windy,visibility,octa,firstcloudtop,temp,dewpoint_temp,humi,sealevelpressure,airpressure,prep,SO2,CO,O3,NO2,PM10,PM25,year,month,day,hour
2123,113,2016-03-29 11:00,200,17,8000,5,1,12.8,2.8,51,1018.1,1017.3,,0.006999999999999999,0.7,0.067,0.025,80.0,38.0,2016,3,29,11
2124,113,2016-03-29 12:00,210,16,8000,5,3,13.7,3.2,49,1018.0,1017.2,,0.006,0.7,0.071,0.02,75.0,31.0,2016,3,29,12
2125,113,2016-03-29 13:00,210,16,9000,3,1,13.6,3.8,52,1017.6,1016.8,,0.006,0.7,0.07,0.019,70.0,30.0,2016,3,29,13
2126,113,2016-03-29 14:00,220,16,9000,3,1,13.8,4.0,52,1017.2,1016.4,,0.006,0.7,0.07,0.021,68.0,30.0,2016,3,29,14
2127,113,2016-03-29 15:00,220,19,10000,4,2,13.5,4.3,54,1016.2,1015.4,,0.006,0.7,0.07200000000000001,0.021,86.0,33.0,2016,3,29,15
2128,113,2016-03-29 16:00,220,18,10000,7,5,11.5,4.5,62,1016.1,1015.3,,0.005,0.6,0.07,0.021,84.0,34.0,2016,3,29,16
2177,113,2016-03-31 17:00,290,7,10000,5,5,14.8,-7.5,21,1015.4,1014.6,,0.009000000000000001,1.0,0.066,0.04,57.0,29.0,2016,3,31,17
2198,113,2016-04-01 14:00,300,13,10000,3,3,16.4,-6.2,21,1016.1,1015.3,,0.009000000000000001,0.6,0.067,0.032,67.0,31.0,2016,4,1,14
2221,113,2016-04-02 13:00,240,11,6000,4,1,17.3,2.6,37,1018.5,1017.7,,0.006,0.7,0.07200000000000001,0.022000000000000002,69.0,42.0,2016,4,2,13
2222,113,2016-04-02 14:00,240,10,8000,2,2,17.8,0.9,32,1018.0,1017.2,,0.006,0.8,0.07200000000000001,0.027000000000000003,71.0,27.0,2016,4,2,14
2223,113,2016-04-02 15:00,300,11,8000,2,2,17.7,1.1,33,1018.0,1017.2,,0.006999999999999999,0.8,0.066,0.036000000000000004,82.0,56.0,2016,4,2,15
2226,113,2016-04-02 18:00,280,8,8000,5,5,12.9,1.3,45,1018.1,1017.3,,0.006,0.8,0.069,0.026000000000000002,94.0,42.0,2016,4,2,18
2227,113,2016-04-02 19:00,310,4,8000,5,5,11.0,4.0,62,1018.9,1018.1,,0.005,0.7,0.067,0.022000000000000002,71.0,47.0,2016,4,2,19
2412,113,2016-04-10 12:00,180,7,3500,3,1,15.6,8.1,61,1012.7,1011.9,,0.008,1.1,0.079,0.021,148.0,88.0,2016,4,10,12
2413,113,2016-04-10 13:00,240,7,3500,5,3,14.5,8.6,68,1012.1,1011.3,,0.006999999999999999,1.1,0.07400000000000001,0.025,172.0,77.0,2016,4,10,13
2414,113,2016-04-10 14:00,310,9,3500,6,2,12.9,8.0,72,1012.1,1011.3,,0.006,1.1,0.07200000000000001,0.02,107.0,70.0,2016,4,10,14
2415,113,2016-04-10 15:00,290,8,3300,7,2,12.5,7.6,72,1011.6,1010.8,,0.005,1.2,0.075,0.018000000000000002,100.0,66.0,2016,4,10,15
2416,113,2016-04-10 16:00,290,10,3300,7,4,11.7,7.6,76,1012.0,1011.2,,0.005,1.1,0.071,0.022000000000000002,98.0,67.0,2016,4,10,16
2417,113,2016-04-10 17:00,280,12,3300,4,2,11.2,7.3,77,1012.3,1011.5,,0.005,1.1,0.067,0.022000000000000002,91.0,59.0,2016,4,10,17
2535,113,2016-04-15 15:00,290,7,7000,0,10,19.3,-0.7,26,1018.6,1017.8,,0.006,0.6,0.07400000000000001,0.023,55.0,26.0,2016,4,15,15
2796,113,2016-04-26 12:00,40,8,8000,5,2,23.1,6.1,33,1015.5,1014.7,,0.006,0.6,0.066,0.026000000000000002,116.0,51.0,2016,4,26,12
2797,113,2016-04-26 13:00,30,8,8000,5,2,24.7,6.6,31,1014.3,1013.5,,0.006,0.6,0.084,0.021,112.0,43.0,2016,4,26,13
2798,113,2016-04-26 14:00,310,9,10000,6,2,25.1,7.4,32,1013.8,1013.0,,0.006,0.6,0.094,0.017,124.0,49.0,2016,4,26,14
2799,113,2016-04-26 15:00,310,7,10000,6,3,24.8,8.0,34,1012.9,1012.1,,0.005,0.6,0.084,0.019,114.0,39.0,2016,4,26,15
2800,113,2016-04-26 16:00,310,5,10000,6,3,25.2,7.3,32,1012.6,1011.8,,0.005,0.6,0.077,0.021,102.0,35.0,2016,4,26,16
2801,113,2016-04-26 17:00,310,6,10000,6,4,23.7,7.5,35,1012.5,1011.7,,0.005,0.6,0.067,0.022000000000000002,105.0,42.0,2016,4,26,17
2892,113,2016-04-30 12:00,220,20,10000,5,1,17.2,3.9,41,1011.1,1010.3,,0.005,0.5,0.07200000000000001,0.017,107.0,40.0,2016,4,30,12
2893,113,2016-04-30 13:00,220,18,10000,5,1,16.7,4.0,43,1010.8,1010.0,,0.005,0.5,0.071,0.021,103.0,36.0,2016,4,30,13
2894,113,2016-04-30 14:00,220,20,10000,5,1,17.0,3.8,41,1010.5,1009.7,,0.006,0.5,0.071,0.024,84.0,31.0,2016,4,30,14
2895,113,2016-04-30 15:00,220,18,10000,3,1,16.8,4.4,44,1010.7,1009.9,,0.005,0.5,0.07,0.021,87.0,33.0,2016,4,30,15
2896,113,2016-04-30 16:00,220,14,10000,3,1,15.9,3.7,44,1011.0,1010.2,,0.004,0.4,0.068,0.02,73.0,32.0,2016,4,30,16
2898,113,2016-04-30 18:00,200,15,10000,4,1,15.3,4.0,47,1010.7,1009.9,,0.004,0.4,0.076,0.016,62.0,27.0,2016,4,30,18
2899,113,2016-04-30 19:00,210,17,10000,5,1,15.9,2.5,41,1010.1,1009.3,,0.006999999999999999,0.5,0.07,0.026000000000000002,72.0,30.0,2016,4,30,19
2917,113,2016-05-01 13:00,190,16,10000,6,3,20.8,3.8,33,1013.5,1012.7,,0.005,0.3,0.07400000000000001,0.016,42.0,27.0,2016,5,1,13
2918,113,2016-05-01 14:00,200,16,10000,6,6,21.1,3.9,32,1013.0,1012.2,,0.003,0.3,0.075,0.012,32.0,16.0,2016,5,1,14
2919,113,2016-05-01 15:00,220,13,10000,3,1,20.9,4.8,35,1012.8,1012.0,,0.003,0.2,0.07200000000000001,0.011000000000000001,44.0,14.0,2016,5,1,15
2920,113,2016-05-01 16:00,220,14,10000,3,1,19.9,6.8,43,1012.9,1012.1,,0.003,0.2,0.067,0.011000000000000001,42.0,18.0,2016,5,1,16
3086,113,2016-05-08 14:00,210,10,10000,4,2,23.1,4.0,29,1015.8,1015.0,,0.004,0.2,0.068,0.012,58.0,12.0,2016,5,8,14
3087,113,2016-05-08 15:00,230,4,10000,4,2,23.2,4.9,30,1015.2,1014.4,,0.006,0.3,0.07400000000000001,0.015,59.0,19.0,2016,5,8,15
3088,113,2016-05-08 16:00,260,6,10000,2,2,22.2,4.7,32,1014.8,1014.0,,0.005,0.2,0.07200000000000001,0.015,63.0,24.0,2016,5,8,16
3089,113,2016-05-08 17:00,270,9,10000,3,3,21.0,3.9,32,1014.7,1013.9,,0.004,0.2,0.07200000000000001,0.016,58.0,21.0,2016,5,8,17
3090,113,2016-05-08 18:00,250,7,10000,5,3,19.2,4.5,38,1014.7,1013.9,,0.004,0.2,0.073,0.017,69.0,24.0,2016,5,8,18
3091,113,2016-05-08 19:00,270,6,10000,6,3,17.0,4.7,44,1014.5,1013.7,,0.004,0.3,0.07,0.017,59.5,24.0,2016,5,8,19
3092,113,2016-05-08 20:00,360,2,10000,5,3,15.3,7.1,58,1014.8,1014.0,,0.004,0.3,0.07,0.017,50.0,29.0,2016,5,8,20
3093,113,2016-05-08 21:00,320,3,10000,6,6,14.9,7.8,62,1014.9,1014.1,,0.003,0.3,0.066,0.015,42.0,21.0,2016,5,8,21
3094,113,2016-05-08 22:00,350,3,10000,7,7,14.7,8.5,66,1015.0,1014.2,,0.005,0.3,0.069,0.013999999999999999,55.0,30.0,2016,5,8,22
3095,113,2016-05-08 23:00,300,2,10000,7,7,15.1,7.3,60,1015.1,1014.3,,0.008,0.4,0.071,0.015,61.0,32.0,2016,5,8,23
3106,113,2016-05-09 10:00,330,6,10000,3,3,18.9,9.2,53,1012.9,1012.1,,0.006,0.3,0.067,0.016,73.0,28.0,2016,5,9,10
3107,113,2016-05-09 11:00,320,6,10000,5,5,19.2,8.0,48,1012.5,1011.7,,0.006,0.4,0.069,0.016,78.0,23.0,2016,5,9,11
3108,113,2016-05-09 12:00,310,9,10000,6,1,19.2,7.9,48,1012.0,1011.2,,0.005,0.4,0.067,0.015,70.0,29.0,2016,5,9,12
3110,113,2016-05-09 14:00,310,10,10000,5,1,19.9,7.2,44,1010.7,1009.9,,0.003,0.4,0.067,0.016,60.0,16.0,2016,5,9,14
3230,113,2016-05-14 14:00,200,10,10000,3,3,22.2,1.2,25,1020.3,1019.5,,0.002,0.1,0.069,0.013000000000000001,26.0,16.0,2016,5,14,14
3231,113,2016-05-14 15:00,200,12,10000,2,2,23.9,3.0,26,1019.6,1018.8,,0.002,0.1,0.07,0.013999999999999999,33.0,7.0,2016,5,14,15
3232,113,2016-05-14 16:00,210,8,10000,2,2,23.6,3.2,26,1019.1,1018.3,,0.003,0.1,0.068,0.016,38.0,15.0,2016,5,14,16
3234,113,2016-05-14 18:00,300,11,10000,5,5,19.0,5.5,41,1019.1,1018.3,,0.003,0.2,0.07,0.017,55.0,23.0,2016,5,14,18
3235,113,2016-05-14 19:00,280,11,10000,5,5,18.4,5.5,43,1019.3,1018.5,,0.003,0.2,0.069,0.016,34.0,26.0,2016,5,14,19
3236,113,2016-05-14 20:00,320,6,10000,5,5,17.1,8.3,56,1019.5,1018.7,,0.003,0.2,0.067,0.013999999999999999,32.0,17.0,2016,5,14,20
3237,113,2016-05-14 21:00,310,6,10000,5,5,16.9,8.6,58,1019.6,1018.8,,0.003,0.3,0.067,0.009000000000000001,40.0,20.0,2016,5,14,21
3238,113,2016-05-14 22:00,290,3,10000,5,4,16.9,8.9,59,1019.5,1018.7,,0.003,0.2,0.066,0.012,20.0,22.5,2016,5,14,22
3299,113,2016-05-17 11:00,160,8,6000,0,10,18.9,9.0,53,1017.1,1016.3,,0.016,0.9,0.073,0.031,119.0,69.0,2016,5,17,11
