Unnamed: 0,code,date,wind_direction,windy,visibility,octa,firstcloudtop,temp,dewpoint_temp,humi,sealevelpressure,airpressure,prep,SO2,CO,O3,NO2,PM10,PM25,year,month,day,hour
1,113,2016-01-01 1:00,240,1,6000,1,1,-1.3,-3.6,84,1033.2,1032.3,,0.005,1.3,0.006999999999999999,0.047,77.0,56.0,2016,1,1,1
7,113,2016-01-01 7:00,80,3,3200,4,1,-0.8,-3.3,83,1033.2,1032.3,,0.006,1.2,0.003,0.049,71.0,58.0,2016,1,1,7
8,113,2016-01-01 8:00,70,4,2000,4,4,-1.2,-3.3,86,1033.1,1032.2,,0.006,1.5,0.003,0.055999999999999994,90.0,67.0,2016,1,1,8
9,113,2016-01-01 9:00,120,5,2000,3,3,0.2,-2.2,84,1033.3,1032.4,,0.006999999999999999,1.4,0.004,0.057999999999999996,93.0,71.0,2016,1,1,9
10,113,2016-01-01 10:00,150,7,2800,3,3,1.7,-1.0,82,1033.5,1032.6,,0.008,1.2,0.006,0.055,83.0,67.0,2016,1,1,10
11,113,2016-01-01 11:00,150,9,4500,4,4,2.3,-1.4,77,1033.3,1032.4,,0.006,1.1,0.008,0.045,75.0,60.0,2016,1,1,11
61,113,2016-01-03 13:00,170,3,2000,7,7,5.9,4.6,91,1019.6,1018.8,,0.006,1.1,0.023,0.04,92.0,58.0,2016,1,3,13
62,113,2016-01-03 14:00,340,4,1500,7,7,6.2,4.8,91,1018.9,1018.1,,0.006,1.1,0.024,0.040999999999999995,86.0,59.0,2016,1,3,14
63,113,2016-01-03 15:00,330,2,2000,6,4,6.4,4.3,86,1018.6,1017.8,,0.006,1.1,0.024,0.038,74.0,57.0,2016,1,3,15
66,113,2016-01-03 18:00,350,3,1300,6,3,4.9,2.6,85,1019.2,1018.4,,0.005,1.2,0.02,0.040999999999999995,102.0,63.0,2016,1,3,18
67,113,2016-01-03 19:00,10,2,1200,6,3,3.9,2.0,87,1019.4,1018.6,,0.005,1.2,0.035,0.027000000000000003,96.0,64.0,2016,1,3,19
68,113,2016-01-03 20:00,310,2,1600,6,6,5.1,3.0,86,1019.7,1018.9,,0.005,1.2,0.027000000000000003,0.033,97.0,67.0,2016,1,3,20
69,113,2016-01-03 21:00,340,5,1600,6,6,4.8,2.6,86,1020.0,1019.2,,0.005,1.2,0.027000000000000003,0.027999999999999997,89.0,62.0,2016,1,3,21
70,113,2016-01-03 22:00,350,3,1600,6,6,4.8,2.6,86,1020.2,1019.4,,0.005,1.2,0.034,0.027999999999999997,84.0,62.0,2016,1,3,22
71,113,2016-01-03 23:00,310,6,1800,6,6,4.6,1.9,83,1020.6,1019.8,,0.005,1.2,0.038,0.026000000000000002,132.0,66.0,2016,1,3,23
72,113,2016-01-04 0:00,330,3,1800,6,6,3.0,0.2,82,1020.3,1019.5,,0.006,1.2,0.045,0.019,141.0,82.0,2016,1,4,0
73,113,2016-01-04 1:00,260,4,2000,6,6,4.3,1.1,80,1020.4,1019.6,,0.006,1.3,0.027999999999999997,0.036000000000000004,165.0,105.0,2016,1,4,1
74,113,2016-01-04 2:00,300,5,1800,6,6,4.1,1.3,82,1020.9,1020.1,,0.006,1.2,0.043,0.021,162.0,100.0,2016,1,4,2
75,113,2016-01-04 3:00,330,11,1800,6,6,4.6,1.4,80,1021.2,1020.4,,0.006,1.2,0.043,0.013999999999999999,145.0,97.0,2016,1,4,3
76,113,2016-01-04 4:00,310,9,2000,6,6,4.4,0.1,74,1021.5,1020.7,,0.006999999999999999,1.2,0.040999999999999995,0.013999999999999999,133.0,89.0,2016,1,4,4
77,113,2016-01-04 5:00,320,9,2400,6,6,3.0,-0.9,76,1021.9,1021.1,,0.006,1.3,0.035,0.013999999999999999,131.0,91.0,2016,1,4,5
78,113,2016-01-04 6:00,350,8,1500,4,4,1.4,-1.1,83,1022.8,1021.9,,0.006,1.3,0.032,0.015,129.0,82.0,2016,1,4,6
79,113,2016-01-04 7:00,330,9,2500,2,2,1.2,-1.6,82,1023.6,1022.7,,0.006,1.2,0.034,0.015,99.0,75.0,2016,1,4,7
80,113,2016-01-04 8:00,320,7,4500,3,1,1.3,-2.5,76,1024.2,1023.3,,0.006,1.1,0.031,0.017,104.0,61.0,2016,1,4,8
373,113,2016-01-16 13:00,50,8,4500,7,7,2.7,-2.0,71,1022.8,1022.0,0.0,0.006999999999999999,1.2,0.005,0.061,85.0,58.0,2016,1,16,13
385,113,2016-01-17 1:00,60,5,2900,5,2,-0.7,-3.7,80,1021.8,1020.9,,0.006,1.2,0.002,0.055999999999999994,97.0,65.0,2016,1,17,1
386,113,2016-01-17 2:00,60,6,2600,5,2,-1.1,-3.5,84,1021.9,1021.0,,0.005,1.1,0.002,0.05,93.0,69.0,2016,1,17,2
387,113,2016-01-17 3:00,70,6,2500,6,2,-1.3,-3.8,83,1022.0,1021.1,,0.005,1.0,0.003,0.045,88.0,64.0,2016,1,17,3
