Unnamed: 0,code,date,wind_direction,windy,visibility,octa,firstcloudtop,temp,dewpoint_temp,humi,sealevelpressure,airpressure,prep,SO2,CO,O3,NO2,PM10,PM25,year,month,day,hour
10,113,2016-01-01 10:00,150,7,2800,3,3,1.7,-1.0,82,1033.5,1032.6,,0.008,1.2,0.006,0.055,83.0,67.0,2016,1,1,10
128,113,2016-01-06 8:00,120,4,10000,3,3,-2.5,-10.2,55,1027.3,1026.4,,0.009000000000000001,1.0,0.004,0.054000000000000006,75.0,51.0,2016,1,6,8
129,113,2016-01-06 9:00,150,7,10000,5,3,-0.8,-8.8,55,1027.2,1026.3,,0.008,0.9,0.006999999999999999,0.047,64.0,30.0,2016,1,6,9
130,113,2016-01-06 10:00,80,4,10000,6,3,0.2,-8.6,52,1027.3,1026.4,,0.008,0.8,0.009000000000000001,0.044000000000000004,49.0,26.0,2016,1,6,10
131,113,2016-01-06 11:00,150,4,10000,7,4,0.8,-7.9,52,1027.3,1026.4,,0.009000000000000001,0.8,0.01,0.045,73.0,29.0,2016,1,6,11
132,113,2016-01-06 12:00,180,6,10000,6,3,1.3,-7.2,53,1026.8,1025.9,,0.008,0.8,0.01,0.043,50.0,27.0,2016,1,6,12
133,113,2016-01-06 13:00,210,3,10000,7,4,1.6,-6.1,57,1026.1,1025.2,,0.008,1.1,0.009000000000000001,0.045,41.0,29.0,2016,1,6,13
134,113,2016-01-06 14:00,200,3,10000,7,3,2.4,-6.6,51,1025.1,1024.2,,0.008,0.9,0.012,0.038,45.0,28.0,2016,1,6,14
329,113,2016-01-14 17:00,180,5,10000,7,1,-1.3,-8.8,57,1021.1,1020.2,0.0,0.008,0.8,0.013999999999999999,0.043,33.0,15.0,2016,1,14,17
330,113,2016-01-14 18:00,150,5,7000,7,2,-1.2,-6.6,67,1021.0,1020.1,0.0,0.008,0.8,0.009000000000000001,0.048,19.0,19.0,2016,1,14,18
368,113,2016-01-16 8:00,120,5,6000,7,1,-0.6,-6.2,66,1023.3,1022.4,0.0,0.008,1.1,0.003,0.062,64.0,46.0,2016,1,16,8
369,113,2016-01-16 9:00,130,6,6000,6,6,1.0,-5.1,64,1023.7,1022.8,0.0,0.008,1.0,0.004,0.059000000000000004,64.0,38.0,2016,1,16,9
370,113,2016-01-16 10:00,130,7,3500,7,2,1.1,-3.2,73,1023.9,1023.0,0.0,0.008,1.0,0.005,0.057,74.0,46.0,2016,1,16,10
374,113,2016-01-16 14:00,130,7,4500,6,6,3.8,-1.7,67,1022.1,1021.3,,0.008,1.0,0.013999999999999999,0.052000000000000005,59.0,48.0,2016,1,16,14
