date,delay_snow,delay_wind,delay_rain,delay_visibility,delay_cloud,delay_typhoon,delay_fairway,delay_other,cancel_snow,cancel_wind,cancel_rain,cancel_visibility,cancel_cloud,cancel_typhoon,cancel_fairway,cancel_other,delay_sum,cancel_sum,tot
2016-01-03, - , - , - ,17, - , - , - , - , - , - , - , - , - , - , - , - ,17, - ,17
2016-01-26,2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2, - ,2
2016-01-27, - , - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1
2016-02-12, - , - , - ,11, - , - , - , - , - , - , - ,13, - , - , - , - ,11,13,24
2016-02-13, - , - , - ,6, - , - , - ,4, - , - , - , - , - , - , - , - ,10, - ,10
2016-02-28,1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1
2016-03-05, - , - ,1, - , - , - , - ,13, - , - , - ,2, - , - , - , - ,14,2,16
2016-04-14, - , - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1
2016-04-15, - , - , - ,6, - , - , - , - , - , - , - ,1, - , - , - , - ,6,1,7
2016-04-16, - , - , - , - , - , - , - ,2, - , - , - , - , - , - , - ,1,2,1,3
2016-04-17, - ,4, - , - , - , - , - ,1, - , - , - , - , - , - , - , - ,5, - ,5
2016-04-22, - , - , - ,4, - , - , - , - , - , - , - , - , - , - , - , - ,4, - ,4
2016-05-03, - ,17, - , - , - , - , - , - , - ,18, - , - , - , - , - , - ,17,18,35
2016-05-04, - ,2, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2, - ,2
2016-05-06, - , - , - , - ,1, - , - , - , - , - , - , - ,2, - , - , - ,1,2,3
2016-05-15, - ,2, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2, - ,2
2016-06-09, - , - , - ,3, - , - , - , - , - , - , - , - , - , - , - , - ,3, - ,3
2016-07-01, - , - ,5, - , - , - , - , - , - , - , - , - , - , - , - , - ,5, - ,5
2016-07-04, - , - , - , - , - , - ,1,1, - , - , - , - , - , - , - , - ,2, - ,2
2016-07-05, - , - , - , - ,1, - , - ,1, - , - , - , - , - , - , - , - ,2, - ,2
2016-07-16, - , - , - , - , - , - , - , - , - , - , - ,1, - , - , - , - , - ,1,1
2016-07-28, - , - , - ,5, - , - , - , - , - , - , - , - , - , - , - , - ,5, - ,5
